centroid_x,centroid_y,mass,peak,plane_cp25_flux,plane_cp25_inventory,plane_cp50_flux,plane_cp50_inventory,plane_cp75_flux,plane_cp75_inventory,spread_x,spread_y,time,total_mass
46.1215054118892,48.44828270224375,1535.865771201368,14.17482416388675,147.120994035811,31.08196568598337,169.2846923885925,16.34926826313045,147.9335690047392,14.56033756175617,22.2500805318953,17.68374514989916,12,1535.865771201368
46.82615113065383,48.44810833681301,1574.211580552196,14.17482416388676,147.1209943765986,31.08196575496628,170.4099436445999,16.61708733102882,153.0005802511212,15.23440463618609,22.54477524884911,17.65381244803158,12.8,1574.211580552196
47.39459147140834,48.43512751510208,1605.29496635555,14.17482416388676,147.1209944719205,31.08196577578767,171.1085615165445,16.82556082344014,157.0033206206691,15.80174126426757,22.78048788293166,17.62903157839498,13.6,1605.29496635555
47.85006829641147,48.41225855631436,1630.243572984317,14.17482416388676,147.1209945002907,31.08196578243431,171.5587620850777,17.00023146044197,160.0968608849207,16.26319811142666,22.97013348509328,17.60956518727395,14.4,1630.243572984317
48.21112274796218,48.38335698285089,1650.057360458723,14.17482416388676,147.1209945092035,31.08196578465387,171.866451734783,17.15696464344884,162.4172240029903,16.62365297371761,23.12196077718614,17.59469395807324,15.2,1650.057360458723
48.49381951516445,48.35226445985418,1665.652201534026,14.17482416388676,147.1209945121344,31.08196578542199,172.0921482310683,17.30472400952863,164.1081554881317,16.89499740053762,23.241967121948,17.58333621673057,16,1665.652201534026
48.71274042994863,48.32206008874582,1677.865711238084,14.17482416388676,147.1209945131353,31.08196578569536,172.2694095430546,17.44792299266652,165.3148668066688,17.09377958698174,23.33525888345324,17.57442115366601,16.8,1677.865711238084
48.88108573757412,48.29473223940661,1687.441064647781,14.17482416388676,147.1209945134876,31.08196578579481,172.4164318899429,17.58815526287046,166.1690452417864,17.23745480514815,23.40657147846325,17.56708274688767,17.6,1687.441064647781
49.01040356679417,48.27122485527082,1695.008828211911,14.17482416388676,147.1209945136147,31.08196578583162,172.5429434725302,17.72537807397208,166.7783319873006,17.34155102720707,23.46030633688184,17.56071080985864,18.4,1695.008828211911
49.11034121724623,48.25169401045562,1701.079171079856,14.17482416388676,147.1209945136615,31.08196578584543,172.6541356490355,17.85869140452206,167.2234048995256,17.418358264327,23.50039407539739,17.55491984183974,19.2,1701.079171079856
49.1885912895423,48.23581505184545,1706.047100938503,14.17482416388676,147.1209945136789,31.08196578585067,172.7528351395239,17.98684068269909,167.5606742363365,17.47681593248616,23.53016763509682,17.54948812952444,20,1706.047100938503
49.25103710457208,48.22304198976433,1710.207263222987,14.17482416388676,147.1209945136855,31.08196578585267,172.8406745277504,18.10853470691423,167.8275094284643,17.52303696400026,23.55231481364403,17.54429865776083,20.8,1710.207263222987
49.30202435619635,48.21278369899229,1713.773085037901,14.17482416388676,147.120994513688,31.08196578585344,172.9187091516082,18.22263848679716,168.0477076572045,17.56102361636333,23.56890999152316,17.53929450268597,21.6,1713.773085037902
49.34467680733003,48.20450160327601,1716.895966049648,14.17482416388676,147.1209945136889,31.08196578585373,172.9877342240242,18.32827922268954,168.236053747258,17.59332709303826,23.58149682631618,17.53444994280047,22.4,1716.895966049648
49.38119662665531,48.19775004051483,1719.681998606688,14.17482416388676,147.1209945136893,31.08196578585385,173.048441663269,18.42489099350855,168.401656973487,17.62155778618787,23.59119133279668,17.52975379436636,23.2,1719.681998606688
49.41311836812096,48.19218195909711,1722.205265472845,14.17482416388676,147.1209945136894,31.0819657858539,173.1014918967585,18.51221667800791,168.5501865156525,17.6467403599821,23.59878322534089,17.52520072292502,24,1722.205265472844
49.44150745136907,48.18753748497098,1724.517762173663,14.17482416388676,147.1209945136895,31.08196578585391,173.1475410476011,18.59028148606023,168.6852761257122,17.66954371049205,23.60482351149165,17.5207871573041,24.8,1724.517762173664
49.46710678783905,48.18362656247064,1726.656468017159,14.17482416388676,147.1209945136895,31.08196578585391,173.1872453624446,18.65934956712821,168.8093659839477,17.69042253936901,23.60969413446876,17.51650960457864,25.6,1726.65646801716
