centroid_x,centroid_y,mass,peak,plane_cp58_flux,plane_cp58_inventory,plane_cp70_flux,plane_cp70_inventory,plane_cp82_flux,plane_cp82_inventory,plane_cp90_flux,plane_cp90_inventory,spread_x,spread_y,time,total_mass
13949.99999999999,13950,15075090067.32768,744.7650351185114,10022689.5893905,1904129.198995532,48784.51518997406,20226.68755835815,6.208332539375919,3.991692424865839,0.02855506331904396,0.02071210941014754,1733.029487768774,1733.029487768774,500,15075090067.32768
13949.99999999999,13950,18240180429.9921,819.0201649895386,11911968.19063466,2323601.876530725,80747.28357140139,33618.49116807729,15.03080720045803,9.674986300704603,0.0834221151018873,0.06055372965944807,1806.206556318792,1806.206556318792,550,18240180429.9921
13949.99999999999,13950,21711689999.67363,893.2746937442093,13883124.91690473,2776510.418092886,126508.8996032865,52891.76543613194,33.36270734717825,21.49898275942375,0.220064544975826,0.1598559866818485,1876.211374010344,1876.211374010344,600,21711689999.67363
13949.99999999999,13950,25490183355.27685,967.52884805777,15924465.95414854,3260942.582085054,189320.4325925904,79486.05028056972,68.83558308316516,44.40799648849373,0.532699813026539,0.3872410526571435,1943.427731850789,1943.427731850789,650,25490183355.27685
13949.99999999999,13950,29576160510.21572,1041.782762587753,18026437.16469015,3775211.893296241,272535.8093002823,114908.8488493841,133.4525270521831,86.19257172026616,1.198252584429008,0.8717026335245586,2008.16734674259,2008.16734674259,700,29576160510.21572
13949.99999999999,13950,33970069680.74947,1116.036519983295,20181204.28862133,4317830.848999899,379519.0802450908,160697.8411607136,245.2090686994799,158.5542774610352,2.529919692470774,1.84182837177964,2070.687597637995,2070.687597637994,750,33970069680.74947
13949.99999999999,13949.99999999999,38672316773.14064,1190.290172379788,22382308.73725608,4887484.308518325,513560.1807992641,218385.6990479006,429.9949371924143,278.3600655147115,5.054611061762433,3.68259593626579,2131.203991050089,2131.203991050089,800,38672316773.14064
13949.99999999999,13950,43683272577.21878,1264.543753427284,24624391.35327077,5483005.14837983,677802.2758119636,289468.8884076161,723.7457957266472,469.0679112477425,9.620332066686522,7.014260541258085,2189.89915976417,2189.899159764169,850,43683272577.21878
13949.99999999999,13950,49003278323.44968,1338.797285270367,26902973.32735698,6103352.91530217,875182.2773117382,375381.2545338841,1174.798526980494,762.2952636589315,17.53973067708032,12.7979961824667,2246.929508912719,2246.929508912718,900,49003278323.44969
13949.99999999999,13949.99999999999,46422431812.85179,1354.911738222373,0,5747528.267941751,0,371679.4047892193,0,824.3128344683182,0,14.43565168551027,2260.553775264542,2260.553775264541,950,46422431812.85178
13949.99999999999,13949.99999999999,41649235056.93846,1349.078718262655,0,5124872.153941186,0,337841.9157915933,0,783.4216203400952,0,13.98105951400056,2259.653857031469,2259.653857031466,1000,41649235056.93846
13949.99999999999,13950,37387003538.45976,1340.769101859206,0,4568597.99342651,0,307171.3008172761,0,744.3807072520368,0,13.53615028481063,2258.534063096158,2258.534063096155,1050,37387003538.45977
13949.99999999999,13949.99999999999,33577368143.73267,1330.363958587374,0,4072219.206240981,0,279364.1961048032,0,707.1212490931829,0,13.10098951274627,2257.27984019832,2257.279840198316,1100,33577368143.73267
13949.99999999999,13950,30171198116.23841,1318.170427751722,0,3629699.970782954,0,254146.8318409114,0,671.5757123351622,0,12.67562343265315,2255.900867958509,2255.900867958503,1150,30171198116.23841
13949.99999999999,13949.99999999999,27125534919.99554,1304.447952432551,0,3235480.140074111,0,231272.1100805287,0,637.6779676786072,0,12.26007980911832,2254.372921143537,2254.37292114353,1200,27125534919.99554
13949.99999999999,13949.99999999999,24402169963.09814,1289.421190297041,0,2884477.096171943,0,210516.9723720693,0,605.363367953027,0,11.85436877763828,2252.657022257383,2252.657022257375,1250,24402169963.09815
13950,13950,21966892023.53057,1273.287138524881,0,2572072.992144544,0,191680.0285812433,0,574.5688132614216,0,11.45848370867984,2250.708217730075,2250.708217730066,1300,21966892023.53057
13949.99999999999,13949.99999999999,19789010917.77943,1256.219614045991,0,2294092.820910629,0,174579.4211375612,0,545.2328043285792,0,11.07240208696268,2248.47959192281,2248.4795919228,1350,19789010917.77942
13949.99999999999,13949.99999999999,17840999348.03466,1238.372429760216,0,2046777.013802552,0,159050.9014133583,0,517.2954849767071,0,10.69608639912346,2245.924086310342,2245.92408631033,1400,17840999348.03466
13949.99999999999,13949.99999999999,16098190253.56213,1219.881859436038,0,1826751.154903781,0,144946.0972042567,0,490.6986746144687,0,10.3294850236868,2242.995307000972,2242.995307000959,1450,16098190253.56214
13950,13949.99999999999,14538505440.54964,1200.868666843869,0,1630994.622527405,0,132130.9523305633,0,465.3858915862718,0,9.972533117972109,2239.647871502835,2239.64787150282,1500,14538505440.54964
13950,13949.99999999999,13142206515.74237,1181.439836301738,0,1456809.40926463,0,120484.3212382422,0,441.3023681882656,0,9.625153497211519,2235.837554427637,2235.837554427621,1550,13142206515.74237
13950,13949.99999999999,11891664969.47917,1161.690079053664,0,1301789.960710544,0,109896.7031619363,0,418.3950581164559,0,9.287257501748954,2231.52135613287,2231.521356132853,1600,11891664969.47917
